user_id,top_ties,reciprocity,extrovert_score,num_circles,churn_rate,out_degree,in_degree,total_activity
95,"[(135, 3390), (92, 390), (378, 39.0)]",1.0,2.0,3,0.0,3,3,6
96,"[(365, 210), (518, 150.0), (376, 120), (124, 60), (158, 47.0)]",0.4,4.473684210526316,3,0.6666666666666666,5,2,7
97,"[(151, 600), (415, 17.0), (322, 3.0)]",0.3333333333333333,3.0,3,0.0,3,1,4
98,"[(np.int64(207), 1042.0), (566, 450), (162, 270), (552, 150), (182, 120)]",0.5714285714285714,5.411764705882353,6,0.75,6,5,11
99,"[(505, 522.0), (440, 210), (345, 120), (219, 36.0), (np.int64(50), 17.0)]",0.6666666666666666,4.7560975609756095,5,0.0,5,5,10
100,"[(217, 720), (358, 90), (171, 30), (np.int64(426), 2.0)]",0.5,2.5384615384615383,5,0.0,3,3,6
101,"[(102, 9998.0), (538, 1500), (231, 1230), (184, 570), (np.int64(82), 371.0)]",0.625,5.342465753424658,5,0.0,6,7,13
102,"[(101, 9998.0), (np.int64(321), 486.0), (452, 120)]",0.6666666666666666,2.0,4,0.0,2,3,5
103,"[(104, 17910), (386, 2078.0), (58, 840), (488, 420), (84, 150)]",0.8333333333333334,6.0,6,0.11688311688311688,6,5,11
104,"[(103, 17910), (136, 600), (344, 150), (532, 105.0), (449, 90)]",0.7142857142857143,6.770491803278688,7,0.23170731707317074,7,5,12
105,"[(409, 4170), (44, 270), (np.int64(380), 120), (503, 90), (73, 61.0)]",0.5,2.787878787878788,5,0.0,4,5,9
106,"[(564, 930), (175, 480), (np.int64(353), 2.0)]",0.6666666666666666,2.0,2,0.0,2,3,5
107,"[(136, 5760), (76, 1200), (434, 360), (np.int64(325), 42.0), (225, 41.0)]",0.8,3.0,4,0.0,4,5,9
108,"[(399, 999.0), (349, 210), (237, 60), (2, 17.0), (219, 8.0)]",0.8,5.0,5,0.0,5,4,9
109,"[(110, 4451.0), (422, 2610), (318, 240), (231, 150), (3, 90)]",1.0,5.0,5,0.0,5,5,10
110,"[(109, 4451.0), (111, 900), (134, 170.0), (429, 4.0)]",0.5,4.0,5,0.9166666666666666,4,2,6
111,"[(347, 1290), (456, 1230), (136, 1020), (110, 900), (349, 716.0)]",1.0,4.5,2,0.043478260869565216,5,5,10
112,"[(375, 960), (318, 159.0), (np.int64(262), 11.0)]",0.6666666666666666,2.0,3,0.75,2,3,5
113,"[(492, 60), (np.int64(241), 23.0), (50, 5.0)]",0.0,2.0,3,0.0,2,1,3
114,"[(339, 3480), (292, 421.0), (57, 90), (482, 27.0)]",0.75,3.5555555555555554,4,0.0,4,3,7
115,"[(434, 2880), (430, 81.0), (54, 60)]",1.0,3.0,4,0.39285714285714285,3,3,6
116,"[(515, 3030), (310, 870), (254, 3.0)]",0.6666666666666666,1.5,3,0.2727272727272727,3,2,5
117,"[(457, 420), (510, 99.0), (372, 17.0)]",0.3333333333333333,3.0,3,0.0,3,1,4
118,"[(482, 861.0), (60, 780), (70, 271.0), (np.int64(296), 2.0)]",0.75,3.0,3,0.0,3,4,7
119,"[(481, 720), (np.int64(368), 371.0), (130, 60), (np.int64(541), 30)]",0.5,1.3846153846153846,4,0.375,2,4,6
120,"[(546, 1050), (530, 240), (394, 120), (np.int64(389), 60.0)]",0.75,2.6666666666666665,5,0.0,3,4,7
121,"[(515, 930), (73, 270), (317, 150)]",1.0,2.0,3,0.6666666666666666,3,3,6
122,"[(412, 390), (np.int64(222), 25.0)]",0.5,1.0,2,0.8,1,2,3
123,"[(np.int64(420), 30), (222, 11.0)]",0.0,1.0,2,0.0,1,1,2
124,"[(125, 1565.0), (43, 420), (376, 240), (234, 150), (np.int64(96), 60)]",0.8,1.5,5,0.0,4,5,9
125,"[(234, 5610), (124, 1565.0), (202, 784.0), (376, 690), (np.int64(344), 71.0)]",0.6666666666666666,3.048780487804878,6,0.46153846153846156,5,5,10
126,"[(127, 270), (549, 30), (np.int64(304), 23.0)]",0.3333333333333333,2.0,2,1.0,2,2,4
127,"[(369, 1650), (289, 900.0), (210, 870), (126, 270), (211, 100.0)]",0.8,4.84375,4,0.6666666666666666,5,4,9
128,"[(324, 180)]",1.0,1.0,1,0.0,1,1,2
129,"[(307, 360), (35, 215.0), (158, 133.0)]",0.6666666666666666,3.0,5,0.0,3,2,5
130,"[(448, 2326.0), (166, 1320), (565, 540), (71, 348.0), (119, 60)]",0.8571428571428571,5.083333333333333,5,0.21428571428571427,6,7,13
131,"[(36, 1590), (400, 809.0), (328, 406.0), (331, 390), (441, 92.0)]",0.8333333333333334,4.6000000000000005,6,0.0,5,6,11
132,"[(477, 6360), (493, 260.0), (74, 210), (np.int64(172), 99.0), (414, 60)]",0.8,2.5,4,0.0,4,5,9
133,"[(353, 480), (423, 270), (np.int64(79), 122.0), (164, 120), (91, 54.0)]",0.6666666666666666,3.707317073170732,5,0.6666666666666666,4,6,10
134,"[(409, 1880.0), (177, 540), (251, 390), (np.int64(110), 170.0), (525, 120)]",0.4444444444444444,5.837837837837839,6,0.0,6,7,13
135,"[(92, 4650), (95, 3390), (82, 900), (448, 180), (75, 34.0)]",0.8,4.375,6,0.0,5,4,9
136,"[(434, 52920), (107, 5760), (456, 1110), (111, 1020), (104, 600)]",0.7142857142857143,11.548872180451127,11,0.0,12,12,24
137,"[(79, 690), (537, 390), (np.int64(459), 117.0), (530, 78.0), (146, 35.0)]",0.42857142857142855,5.214285714285714,8,0.6363636363636364,6,4,10
138,"[(209, 2070), (400, 510), (515, 420), (210, 390), (np.int64(415), 283.0)]",0.5,3.967741935483871,7,0.25,4,8,12
139,"[(150, 3690), (489, 660), (562, 300), (369, 60), (np.int64(328), 5.0)]",0.6666666666666666,5.0,4,0.18518518518518517,5,5,10
140,"[(440, 1170), (159, 336.0), (259, 296.0), (np.int64(369), 90), (np.int64(318), 71.0)]",0.6,2.52,5,0.0,3,5,8
141,"[(221, 98.0), (np.int64(50), 39.0), (272, 30), (38, 6.0)]",0.25,2.3333333333333335,4,0.0,3,2,5
142,"[(513, 180), (353, 60), (np.int64(182), 53.0), (np.int64(472), 17.0)]",0.5,2.0,3,0.0,2,4,6
143,"[(269, 328.0), (289, 99.0), (np.int64(195), 60.0), (np.int64(270), 60), (np.int64(313), 30)]",0.1111111111111111,3.3636363636363638,8,0.0,4,6,10
144,"[(233, 360), (54, 90), (np.int64(535), 23.0)]",0.6666666666666666,1.0,3,0.7142857142857143,2,3,5
145,"[(548, 360), (np.int64(154), 41.0)]",0.5,1.0,2,0.6666666666666666,1,2,3
146,"[(191, 810), (504, 150), (np.int64(137), 35.0), (np.int64(143), 27.0)]",0.5,2.0,7,0.0,2,4,6
147,"[(285, 510), (75, 270), (307, 90), (216, 70.0), (np.int64(428), 60)]",0.5,4.0,6,0.3333333333333333,4,5,9
148,"[(np.int64(280), 70.0), (567, 60)]",0.5,1.0,2,0.0,1,2,3
149,"[(158, 1530), (171, 497.0), (518, 360)]",1.0,3.0,5,0.0,3,3,6
150,"[(139, 3690), (169, 660), (285, 240), (np.int64(316), 28.0)]",0.75,2.3333333333333335,4,0.4166666666666667,3,4,7
151,"[(228, 3480), (97, 600), (401, 180), (500, 103.0)]",1.0,4.0,3,0.043478260869565216,4,4,8
152,"[(296, 840), (58, 10.0)]",1.0,2.0,2,0.0,2,2,4
153,"[(177, 780), (176, 420), (489, 299.0)]",1.0,2.0,3,0.7142857142857143,3,3,6
154,"[(337, 120), (145, 41.0)]",0.5,2.0,2,0.0,2,1,3
155,"[(298, 750), (532, 360), (45, 54.0), (np.int64(398), 48.0)]",0.5,3.0,5,0.0,3,3,6
156,"[(62, 750), (307, 294.0)]",1.0,2.0,3,0.0,2,2,4
157,"[(521, 3060), (503, 252.0), (399, 193.0), (475, 73.0)]",0.75,3.111111111111111,5,0.07692307692307693,4,3,7
158,"[(149, 1530), (348, 754.0), (0, 201.0), (np.int64(129), 133.0), (442, 75.0)]",0.5,3.4838709677419355,6,0.0,4,8,12
159,"[(140, 336.0), (49, 300), (340, 151.0), (np.int64(259), 124.0)]",0.75,2.6666666666666665,4,0.4090909090909091,3,4,7
160,"[(178, 210), (503, 9.0)]",0.5,2.0,3,0.0,2,1,3
161,"[(535, 480), (422, 210), (287, 137.0)]",1.0,2.0,2,0.0,3,3,6
162,"[(339, 1320), (374, 540), (98, 270), (308, 157.0), (0, 120)]",0.8571428571428571,5.666666666666666,6,0.35714285714285715,6,7,13
163,"[(313, 240), (270, 180), (np.int64(487), 17.0)]",0.6666666666666666,2.0,3,0.25,2,3,5
164,"[(495, 210), (133, 120), (np.int64(195), 62.0), (np.int64(385), 30), (289, 10.0)]",0.3333333333333333,2.8846153846153846,7,1.0,3,5,8
165,"[(277, 1330.0), (305, 720), (np.int64(510), 38.0)]",0.6666666666666666,2.0,3,0.75,2,3,5
166,"[(130, 1320)]",1.0,1.0,2,0.2857142857142857,1,1,2
167,"[(327, 570), (263, 145.0), (271, 144.0), (np.int64(326), 72.0), (62, 61.0)]",0.3333333333333333,5.0,5,0.0,5,3,8
168,"[(np.int64(276), 375.0), (2, 369.0), (197, 188.0), (195, 153.0), (56, 152.0)]",0.2777777777777778,14.580645161290322,12,0.2857142857142857,16,7,23
169,"[(150, 660), (59, 540), (333, 338.0), (285, 180), (2, 180)]",0.8571428571428571,5.666666666666666,6,0.0,6,7,13
170,"[(293, 10560), (546, 1770), (79, 960), (np.int64(104), 30.0)]",0.75,3.0,4,0.5056179775280899,3,4,7
171,"[(244, 1120.0), (407, 561.0), (149, 497.0), (368, 90.0), (310, 87.0)]",0.6666666666666666,4.51219512195122,5,0.0,5,5,10
172,"[(351, 480), (274, 120), (132, 99.0), (65, 90), (np.int64(310), 3.0)]",0.6,4.0,4,0.7142857142857143,4,4,8
173,"[(246, 1500), (3, 810), (39, 420), (203, 360), (358, 330)]",0.75,9.00497512437811,8,0.813953488372093,10,11,21
174,"[(518, 356.0), (452, 276.0), (357, 120)]",1.0,3.0,3,0.0,3,3,6
175,"[(106, 480), (334, 7.0)]",0.5,2.0,2,0.0,2,1,3
176,"[(257, 930), (432, 840), (330, 660), (219, 601.0), (153, 420)]",0.8571428571428571,5.333333333333333,5,0.4074074074074074,6,7,13
